tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H4N5.NA.EPI_ISL_84864.anseriformes.japan.NA.2001-01-01,H4N5,EPI_ISL_84864,A/duck/Hokkaido/1058/2001,2001-01-01,2001,2001-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,A,2001-01,1435,NA,NA,NA,NA,NA,2001-01-01,n5,n5,profileNA
H12N5.NA.EPI_ISL_89573.anseriformes.vietnam.NA.2009-01-01,H12N5,EPI_ISL_89573,A/duck/Vietnam/G18/2009,2009-01-01,2009,2009-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,south-eastern asia,vietnam,vnm,16.5422416723933,106.354375350692,NA,NA,NA,NA,A,2009-01,3893,NA,NA,NA,NA,NA,2009-01-01,n5,n5,profileNA
H4N5.NA.EPI_ISL_373.anseriformes.japan.NA.2001-01-01,H4N5,EPI_ISL_373,A/duck/Hokkaido/1058/01/NA,2001-01-01,2001,2001-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,A,2001-01,1435,NA,NA,NA,NA,NA,2001-01-01,n5,n5,profileNA
H10N5.NA.EPI_ISL_391.anseriformes.japan.NA.2004-01-01,H10N5,EPI_ISL_391,A/duck/Hokkaido/24/04/NA,2004-01-01,2004,2004-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,A,2004-01,1435,NA,NA,NA,NA,NA,2004-01-01,n5,n5,profileNA
H10N5.NA.EPI_ISL_390.anseriformes.mongolia.NA.2003-01-01,H10N5,EPI_ISL_390,A/duck/Mongolia/149/03/NA,2003-01-01,2003,2003-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2003-01,3801,NA,NA,NA,NA,NA,2003-01-01,n5,n5,profileNA
H5N5.NA.EPI_ISL_2652004.accipitriformes.sweden.NA.2021-05-24,H5N5,EPI_ISL_2652004,A/White-Tailed_Eagle/Sweden/SVA210527SZ0358/KN002111/C-2021/NA,2021-05-24,2021.39,2021-05,accipitriformes_wild,accipitriformes,Accipitridae,haliaeetus albicilla,white-tailed eagle,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2021-21,3862,NA,NA,NA,NA,NA,2021-05-24,n5,n5,profileNA
H12N5.NA.EPI_ISL_331295.anseriformes.russia.NA.2017-09-03,H12N5,EPI_ISL_331295,A/teal/Chany/324/2017,2017-09-03,2017.67,2017-09,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2017-35,2696,NA,NA,NA,NA,NA,2017-09-03,n5,n5,profileNA
H12N5.NA.EPI_ISL_502613.anseriformes.belgium.NA.2018-08-29,H12N5,EPI_ISL_502613,A/Anas_platyrhynchos/Belgium/7828/2018,2018-08-29,2018.66,2018-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,belgium,bel,50.64017310615,4.66939027974939,NA,NA,NA,NA,A,2018-35,3672,NA,NA,NA,NA,NA,2018-08-29,n5,n5,profileNA
H12N5.NA.EPI_ISL_331307.anseriformes.russia.NA.2018-01-23,H12N5,EPI_ISL_331307,A/teal/Dagestan/1017/2018,2018-01-23,2018.06,2018-01,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,eastern europe,russia,rus,66.0376616061812,95.7970903417469,dagestan,ru.da,43.0199724243525,46.8879064209307,A,2018-04,2661,NA,NA,NA,NA,NA,2018-01-23,n5,n5,profileNA
H12N5.NA.EPI_ISL_17982402.anseriformes.poland.NA.2018-09-14,H12N5,EPI_ISL_17982402,A/common_teal/Poland/P079w25_mixed_H12N5/2018,2018-09-14,2018.7,2018-09,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,A,2018-37,3831,NA,NA,NA,NA,NA,2018-09-14,n5,n5,profileNA
H12N5.NA.EPI_ISL_17982398.anseriformes.poland.NA.2018-09-14,H12N5,EPI_ISL_17982398,A/common_teal/Poland/P079w24_mixed_H12N5/2018,2018-09-14,2018.7,2018-09,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,A,2018-37,3831,NA,NA,NA,NA,NA,2018-09-14,n5,n5,profileNA
H12N5.NA.EPI_ISL_395083.anseriformes.russia.NA.2018-09-29,H12N5,EPI_ISL_395083,A/mallard/Novosibirsk_region/964k/2018,2018-09-29,2018.74,2018-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2018-39,2696,NA,NA,NA,NA,NA,2018-09-29,n5,n5,profileNA
H7N5.NA.EPI_ISL_399737.anseriformes.cambodia.NA.2018-04-05,H7N5,EPI_ISL_399737,A/duck/Cambodia/C70W14M/2018,2018-04-05,2018.26,2018-04,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,south-eastern asia,cambodia,khm,12.7097809911859,104.914484966688,NA,NA,NA,NA,A,2018-14,3772,NA,NA,NA,NA,NA,2018-04-05,n5,n5,profileNA
