Taxon	Longitude
H5N1|2344b|EPI_ISL_14573033|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-10	25.1981253246192
H5N1|2344b|EPI_ISL_14573038|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-10	25.1981253246192
H5N1|2344b|EPI_ISL_14573053|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-10	25.1981253246192
H5N1|2344b|EPI_ISL_14619020|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-17	25.1981253246192
H5N1|2344b|EPI_ISL_14619024|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-18	25.1981253246192
H5N1|2344b|EPI_ISL_14620174|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-18	25.1981253246192
H5N1|2344b|EPI_ISL_14638909|sphenisciformes|south_africa|2_1_1_1_1_1_1_1|2021-05-20	25.1981253246192
H5N1|2344b|EPI_ISL_14639383|charadriiformes|south_africa|2_1_1_1_1_1_1_1|2021-05-20	25.1981253246192
H5N1|2344b|EPI_ISL_14640323|charadriiformes|south_africa|2_1_1_1_1_1_1_1|2021-05-20	25.1981253246192
H5N1|2344b|EPI_ISL_14644201|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-23	25.1981253246192
H5N1|2344b|EPI_ISL_14645331|pelecaniformes|south_africa|2_1_1_1_1_1_1_1|2021-05-25	25.1981253246192
H5N1|2344b|EPI_ISL_14645717|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-27	25.1981253246192
H5N1|2344b|EPI_ISL_14646080|pelecaniformes|south_africa|2_1_1_1_1_1_1_1|2021-05-29	25.1981253246192
H5N1|2344b|EPI_ISL_14702899|suliformes|france|2_1_1_1_1_1_1_1|2022-07-13	2.5780749353201
H5N1|2344b|EPI_ISL_14710239|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-31	25.1981253246192
H5N1|2344b|EPI_ISL_14710708|anseriformes|south_africa|2_1_1_1_1_1_1_1|2021-06-03	25.1981253246192
H5N1|2344b|EPI_ISL_14710814|accipitriformes|south_africa|2_1_1_1_1_1_1_1|2021-06-03	25.1981253246192
H5N1|2344b|EPI_ISL_14760549|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-03	12.208345049127
H5N1|2344b|EPI_ISL_14760552|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-05	12.208345049127
H5N1|2344b|EPI_ISL_14760561|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-09	12.208345049127
H5N1|2344b|EPI_ISL_14760586|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-15	12.208345049127
H5N1|2344b|EPI_ISL_14760595|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-17	12.208345049127
H5N1|2344b|EPI_ISL_14760607|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-19	12.208345049127
H5N1|2344b|EPI_ISL_14760637|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-25	12.208345049127
H5N1|2344b|EPI_ISL_14760639|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-26	12.208345049127
H5N1|2344b|EPI_ISL_14760646|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-28	12.208345049127
H5N1|2344b|EPI_ISL_14760651|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-29	12.208345049127
H5N1|2344b|EPI_ISL_14760652|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-29	12.208345049127
H5N1|2344b|EPI_ISL_14760656|anseriformes|italy|2_1_1_1_1_1_1_1|2021-11-30	12.208345049127
H5N1|2344b|EPI_ISL_14760658|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-30	12.208345049127
