tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N3.NA.EPI_ISL_379040.anseriformes.guatemala.NA.2013-08-01	H5N3	2013-08-01	2013.58	2013-08	2013	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H2N9.NA.EPI_ISL_379035.anseriformes.guatemala.NA.2014-08-01	H2N9	2014-08-01	2014.58	2014-08	2014	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H12N3.NA.EPI_ISL_379033.anseriformes.guatemala.NA.2014-08-01	H12N3	2014-08-01	2014.58	2014-08	2014	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H10N3.NA.EPI_ISL_378273.anseriformes.united_states.NA.2018-02-21	H10N3	2018-02-21	2018.14	2018-02	2018	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-111.670337174242	39.3065823475906
NA.NA.EPI_ISL_328309.anseriformes.canada.NA.2017-08-12	NA	2017-08-12	2017.61	2017-08	2017	northern america	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-114.405475342745	54.9859148218572
H3N8.NA.EPI_ISL_328301.anseriformes.canada.NA.2017-08-12	H3N8	2017-08-12	2017.61	2017-08	2017	northern america	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-114.405475342745	54.9859148218572
H7N8.NA.EPI_ISL_4056783.charadriiformes.united_states.NA.2020-05-29	H7N8	2020-05-29	2020.41	2020-05	2020	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	charadriiformes	TRUE	charadriiformes-wild	-75.5054386281869	39.0074334461459
H4N6.NA.EPI_ISL_4056418.anseriformes.united_states.NA.2019-08-14	H4N6	2019-08-14	2019.62	2019-08	2019	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-152.396756538795	63.9513927980493
H4N6.NA.EPI_ISL_701961.anseriformes.united_states.NA.2018-11-14	H4N6	2018-11-14	2018.87	2018-11	2018	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-89.7126755416022	44.627499166429
NA.NA.EPI_ISL_701662.anseriformes.united_states.NA.2018-11-13	NA	2018-11-13	2018.87	2018-11	2018	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-89.7126755416022	44.627499166429
NA.NA.EPI_ISL_701641.anseriformes.united_states.NA.2017-09-15	NA	2017-09-15	2017.7	2017-09	2017	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-82.6389467524245	40.470536265191
H9N2.NA.EPI_ISL_701306.anseriformes.united_states.NA.2015-12-01	H9N2	2015-12-01	2015.92	2015-12	2015	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-120.446939948668	47.3842770612086
H5N1.NA.EPI_ISL_17885980.charadriiformes.chile.NA.2022-12-30	H5N1	2022-12-30	2022.99	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	charadriiformes	TRUE	charadriiformes-wild	-69.6296363253853	-18.4968307906384
H5N1.NA.EPI_ISL_17885972.charadriiformes.chile.NA.2023-03-01	H5N1	2023-03-01	2023.16	2023-03	2023	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	charadriiformes	TRUE	charadriiformes-wild	-71.4454635697529	-35.6204383329149
H5N1.NA.EPI_ISL_17885968.galliformes.chile.NA.2022-12-31	H5N1	2022-12-31	2023	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	galliformes	TRUE	galliformes-domestic	-71.3992840580514	-32.7895224923796
H5N1.NA.EPI_ISL_17885956.pelecaniformes.chile.NA.2023-01-20	H5N1	2023-01-20	2023.05	2023-01	2023	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-71.3992840580514	-32.7895224923796
H5N1.NA.EPI_ISL_17885955.charadriiformes.chile.NA.2022-12-24	H5N1	2022-12-24	2022.98	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	charadriiformes	TRUE	charadriiformes-wild	-69.6296363253853	-18.4968307906384
H5N1.NA.EPI_ISL_17885944.pelecaniformes.chile.NA.2022-12-16	H5N1	2022-12-16	2022.96	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-69.1155261199782	-23.5276504572593
H5N1.NA.EPI_ISL_17885932.pelecaniformes.chile.NA.2023-01-20	H5N1	2023-01-20	2023.05	2023-01	2023	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-71.3992840580514	-32.7895224923796
H5N1.NA.EPI_ISL_17885927.pelecaniformes.chile.NA.2022-12-22	H5N1	2022-12-22	2022.97	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-69.902133937498	-27.3880384326825
H5N1.NA.EPI_ISL_17885925.pelecaniformes.chile.NA.2022-12-30	H5N1	2022-12-30	2022.99	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-69.902133937498	-27.3880384326825
H5N1.NA.EPI_ISL_17885924.pelecaniformes.chile.NA.2022-12-30	H5N1	2022-12-30	2022.99	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-69.902133937498	-27.3880384326825
H5N1.NA.EPI_ISL_17885921.pelecaniformes.chile.NA.2023-01-09	H5N1	2023-01-09	2023.02	2023-01	2023	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-71.4454635697529	-35.6204383329149
H5N1.NA.EPI_ISL_17885918.pelecaniformes.chile.NA.2023-01-26	H5N1	2023-01-26	2023.07	2023-01	2023	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-71.9757909721378	-36.6455443686508
H5N1.NA.EPI_ISL_17011956.pelecaniformes.chile.NA.2022-12-06	H5N1	2022-12-06	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	profileNA	NA	NA	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
