tipnames	virus_subtype	collection_regionname	cluster_profile	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_17414586|NA|nigeria|NA|2021-10-05	H5N1	western africa	NA	other-bird	9.58907159716497	8.08769036750384
H5N3|2344b|EPI_ISL_9261740|anseriformes|netherlands|NA|2021-12-29	H5N3	western europe	NA	anseriformes-wild	52.2573048104135	5.56251311224367
H5N1|2344b|EPI_ISL_8769004|galliformes|russia|NA|2021-09-30	H5N1	eastern europe	NA	galliformes-domestic	51.5994582882348	46.8369479833559
H5N1|2344b|EPI_ISL_9651560|charadriiformes|sweden|NA|2021-12-21	H5N1	northern europe	NA	charadriiformes-wild	62.374013544985	16.2835241791686
H5N1|2344b|EPI_ISL_15852237|sphenisciformes|south_africa|NA|2021-11-18	H5N1	southern africa	NA	other-bird	-28.9709136281448	25.1981253246192
H5N8|2344b|EPI_ISL_14901700|anseriformes|egypt|NA|2021-02-20	H5N8	northern africa	NA	anseriformes-wild	26.5331366423868	29.7934978487062
H5N8|2344b|EPI_ISL_17767316|anseriformes|egypt|NA|2018-11-24	H5N8	northern africa	NA	anseriformes-wild	26.5331366423868	29.7934978487062
H5N1|2344b|EPI_ISL_12045918|columbiformes|botswana|NA|2021-08-18	H5N1	southern africa	NA	other-bird	-22.1692328171161	23.8237832499566
H5N2|2344b|EPI_ISL_297465|galliformes|italy|NA|2017-12-22	H5N2	southern europe	NA	galliformes-domestic	41.979336323661	12.7721450906831
H5N2|2344b|EPI_ISL_338359|galliformes|russia|NA|2017-12-25	H5N2	eastern europe	NA	galliformes-domestic	66.0376616061812	95.7970903417469
H5N8|2344b|EPI_ISL_240677|anseriformes|russia|NA|2016-10-04	H5N8	central asia	NA	anseriformes-domestic	65.951077439978	95.3658732364833
H5N8|NA|EPI_ISL_436183|galliformes|germany|NA|2017-03-17	H5N8	western europe	NA	galliformes-domestic	52.7642105761026	9.16783937293005
H5N8|2344b|EPI_ISL_339105|anseriformes|france|NA|2016-11-08	H5N8	western europe	NA	anseriformes-wild	46.5103009447381	2.5780749353201
H5N8|2344b|EPI_ISL_239801|galliformes|united_kingdom|NA|2016-12-15	H5N8	northern europe	NA	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_237731|galliformes|hungary|NA|2016-11-02	H5N8	eastern europe	NA	galliformes-domestic	47.1703761996839	19.3977670199114
H5N8|NA|EPI_ISL_240109|galliformes|russia|NA|2016-11-23	H5N8	eastern europe	NA	galliformes-domestic	46.4151671964121	45.3925155882675
H5N8|2344b|EPI_ISL_297234|galliformes|russia|NA|2017-10-18	H5N8	eastern europe	NA	galliformes-domestic	47.725861660493	41.3470662241277
H5N8|2344b|EPI_ISL_247724|anseriformes|russia|NA|2016-10-02	H5N8	eastern europe	NA	anseriformes-wild	55.3847196142087	50.9399477925889
