cluster_profile,tmrca,host_simplifiedhost
11111111,2020-07-12,anseriformes-wild
11111111,2020-11-07,anseriformes-wild
11111111,2019-10-03,anseriformes-wild
11111111,2020-03-26,anseriformes-wild
11111111,2020-06-06,anseriformes-wild
11111111,2020-07-30,anseriformes-wild
11111111,2020-11-03,anseriformes-wild
11111111,2019-02-28,galliformes-domestic
11111111,2020-06-27,other-bird
11111111,2019-04-19,galliformes-domestic
11111111,2020-02-09,galliformes-domestic
11111111,2020-08-14,anseriformes-wild
11111111,2020-08-05,anseriformes-wild
11111111,2019-09-04,anseriformes-wild
11111111,2020-07-27,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2020-07-19,anseriformes-wild
11111111,2020-03-10,anseriformes-wild
11111111,2020-01-10,anseriformes-wild
11111111,2020-04-12,anseriformes-wild
11111111,2020-09-21,anseriformes-wild
11111111,2020-03-16,anseriformes-wild
11111111,2020-04-27,anseriformes-wild
11111111,2019-10-23,anseriformes-wild
11111111,2020-07-01,anseriformes-wild
11111111,2020-07-05,anseriformes-wild
11111111,2020-01-20,anseriformes-wild
11111111,2019-08-16,anseriformes-wild
11111111,2020-07-03,anseriformes-wild
11111111,2020-08-11,anseriformes-wild
11111111,2020-05-22,anseriformes-wild
11111111,2019-12-23,galliformes-domestic
11111111,2020-08-08,anseriformes-wild
11111111,2019-07-10,charadriiformes-wild
11111111,2019-12-20,anseriformes-wild
11111111,2020-08-22,other-bird
11111111,2020-03-02,galliformes-domestic
11111111,2019-05-26,anseriformes-wild
11111111,2020-02-26,anseriformes-wild
11111111,2019-10-24,human
11111111,2020-06-14,anseriformes-wild
11111111,2018-08-02,anseriformes-wild
11111111,2019-12-07,other-bird
11111111,2019-11-16,anseriformes-wild
11111111,2020-09-21,anseriformes-wild
11111111,2020-03-13,anseriformes-wild
11111111,2020-12-25,anseriformes-wild
11111111,2020-05-01,anseriformes-wild
11111111,2019-08-24,anseriformes-wild
11111111,2020-09-19,anseriformes-wild
11111111,2020-02-28,anseriformes-wild
11111111,2019-12-01,human
11111111,2020-11-10,anseriformes-wild
11111111,2019-10-18,anseriformes-wild
11111111,2020-01-05,anseriformes-wild
11111111,2020-01-11,galliformes-domestic
11111111,2017-12-10,anseriformes-wild
11111111,2020-08-12,anseriformes-wild
11111111,2020-07-15,anseriformes-wild
11111111,2020-06-04,anseriformes-wild
11111111,2020-06-13,anseriformes-wild
11111111,2020-05-14,anseriformes-wild
11111111,2019-10-22,anseriformes-wild
11111111,2020-08-20,anseriformes-wild
11111111,2020-04-08,anseriformes-wild
11111111,2020-03-14,human
11111111,2020-03-15,charadriiformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-02-04,anseriformes-wild
11111111,2019-09-12,anseriformes-wild
11111111,2020-03-04,anseriformes-wild
11111111,2020-05-29,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2020-04-10,anseriformes-wild
11111111,2019-08-05,anseriformes-wild
11111111,2019-11-28,other-bird
11111111,2019-04-09,galliformes-domestic
11111111,2020-04-06,anseriformes-wild
11111111,2020-03-29,anseriformes-wild
11111111,2020-09-21,anseriformes-wild
11111111,2020-05-08,anseriformes-wild
11111111,2020-04-03,environment
11111111,2020-03-19,anseriformes-wild
11111111,2019-09-18,anseriformes-wild
11111111,2020-02-21,anseriformes-wild
11111111,2019-09-06,anseriformes-wild
11111111,2019-12-27,anseriformes-wild
11111111,2020-01-22,galliformes-domestic
11111111,2020-08-02,galliformes-domestic
11111111,2019-02-02,anseriformes-wild
11111111,2019-12-18,anseriformes-wild
11111111,2020-06-04,anseriformes-wild
11111111,2020-05-04,anseriformes-wild
11111111,2019-09-06,anseriformes-wild
11111111,2019-10-22,galliformes-domestic
11111111,2020-03-13,anseriformes-wild
11111111,2020-03-18,anseriformes-wild
11111111,2020-07-24,anseriformes-wild
11111111,2019-05-06,galliformes-domestic
11111111,2020-05-14,anseriformes-wild
11111111,2019-08-16,anseriformes-wild
11111111,2020-06-04,galliformes-domestic
11111111,2019-12-07,galliformes-domestic
11111111,2020-06-20,galliformes-domestic
11111111,2020-05-17,anseriformes-wild
11111111,2019-09-23,anseriformes-wild
11111111,2020-04-13,anseriformes-wild
11111111,2020-06-26,anseriformes-wild
11111111,2020-09-17,galliformes-domestic
11111111,2020-03-26,anseriformes-wild
11111111,2020-03-12,anseriformes-wild
11111111,2020-07-12,anseriformes-wild
11111111,2019-05-26,anseriformes-wild
11111111,2020-01-25,anseriformes-wild
11111111,2019-12-14,anseriformes-wild
11111111,2020-04-14,anseriformes-wild
11111111,2020-03-10,anseriformes-wild
11111111,2020-04-03,anseriformes-wild
11111111,2020-08-03,anseriformes-wild
11111111,2020-04-12,anseriformes-wild
11111111,2020-04-28,galliformes-domestic
11111111,2020-03-16,anseriformes-wild
11111111,2020-06-25,anseriformes-wild
11111111,2019-08-18,anseriformes-wild
11111111,2020-08-03,anseriformes-wild
11111111,2020-03-16,anseriformes-wild
11111111,2020-01-31,galliformes-domestic
11111111,2020-09-29,anseriformes-wild
11111111,2020-03-10,anseriformes-wild
11111111,2021-01-16,anseriformes-wild
11111111,2020-10-17,anseriformes-wild
11111111,2020-07-25,anseriformes-wild
11111111,2019-12-22,anseriformes-wild
11111111,2020-02-11,anseriformes-wild
11111111,2020-11-10,anseriformes-wild
11111111,2020-08-06,anseriformes-wild
11111111,2020-02-21,anseriformes-wild
11111111,2020-06-27,anseriformes-wild
11111111,2020-03-02,anseriformes-wild
11111111,2020-09-17,anseriformes-wild
11111111,2019-10-06,anseriformes-wild
11111111,2019-12-11,anseriformes-wild
11111111,2018-04-23,anseriformes-wild
11111111,2020-06-06,anseriformes-wild
11111111,2019-09-17,anseriformes-wild
11111111,2020-05-29,anseriformes-wild
11111111,2020-09-08,anseriformes-wild
11111111,2019-12-21,other-bird
11111111,2020-10-09,anseriformes-wild
11111111,2020-07-22,anseriformes-wild
11111111,2020-02-17,anseriformes-wild
11111111,2020-10-30,anseriformes-wild
11111111,2020-02-11,anseriformes-wild
11111111,2020-07-30,anseriformes-wild
11111111,2020-03-23,anseriformes-wild
11111111,2020-04-08,anseriformes-wild
11111111,2020-04-26,galliformes-domestic
11111111,2020-06-01,anseriformes-wild
11111111,2020-05-14,anseriformes-wild
11111111,2019-10-06,anseriformes-wild
11111111,2019-12-20,anseriformes-wild
11111111,2020-08-03,anseriformes-wild
11111111,2020-06-15,anseriformes-wild
11111111,2020-04-13,charadriiformes-wild
11111111,2019-09-16,galliformes-domestic
11111111,2020-05-23,galliformes-domestic
11111111,2019-02-03,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2020-03-02,anseriformes-wild
11111111,2020-05-04,anseriformes-wild
11111111,2020-07-09,anseriformes-wild
11111111,2020-12-25,anseriformes-wild
11111111,2020-06-05,other-bird
11111111,2019-08-23,anseriformes-wild
11111111,2020-03-01,anseriformes-wild
11111111,2020-03-30,anseriformes-wild
11111111,2020-09-05,anseriformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-03-23,galliformes-domestic
11111111,2020-07-19,anseriformes-wild
11111111,2020-07-15,anseriformes-wild
11111111,2019-09-10,other-bird
11111111,2020-04-02,anseriformes-wild
11111111,2020-07-27,anseriformes-wild
11111111,2020-04-15,anseriformes-wild
11111111,2020-12-06,anseriformes-wild
11111111,2020-06-06,anseriformes-wild
11111111,2017-12-10,charadriiformes-wild
11111111,2020-04-02,anseriformes-wild
11111111,2019-09-19,anseriformes-wild
11111111,2020-01-05,anseriformes-wild
11111111,2020-02-21,anseriformes-wild
11111111,2020-08-12,anseriformes-wild
11111111,2020-03-04,anseriformes-wild
11111111,2020-09-03,anseriformes-wild
11111111,2020-05-06,anseriformes-wild
11111111,2019-09-22,anseriformes-wild
11111111,2020-04-01,anseriformes-wild
11111111,2020-05-17,anseriformes-wild
11111111,2020-07-12,anseriformes-wild
11111111,2020-11-04,anseriformes-wild
11111111,2020-06-27,anseriformes-wild
11111111,2020-08-03,anseriformes-wild
11111111,2020-08-02,galliformes-domestic
11111111,2020-04-10,anseriformes-wild
11111111,2020-07-25,anseriformes-wild
11111111,2020-06-07,anseriformes-wild
11111111,2019-10-19,anseriformes-wild
11111111,2020-04-07,galliformes-domestic
11111111,2019-09-18,galliformes-domestic
11111111,2020-04-23,anseriformes-wild
11111111,2020-04-15,anseriformes-wild
