tipnames	collection_regionname	collection_countryname	collection_original	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_8338002|galliformes|sweden|2_1_1_1_1_1_1_1|2021-12-12	northern europe	sweden	Europe / Sweden / Skane Lan / Skurups Kommun / NA	galliformes-domestic	55.9474024317265	13.595146733816
H5N1|2344b|EPI_ISL_2276070|galliformes|senegal|2_1_1_1_1_1_1_1|2020-12-23	western africa	senegal	Africa / Senegal / Region de Thies / NA / NA	galliformes-domestic	14.831526394723	-16.7546068121427
H5N1|2344b|EPI_ISL_17964936|galliformes|united_states|2_1_1_1_1_1_1_1|2023-04-07	northern america	united states	North America / United States / California / San Luis Obispo County / NA	galliformes-domestic	37.1829246180653	-119.469343089956
H5N1|2344b|EPI_ISL_15518264|galliformes|finland|2_1_1_1_1_1_1_1|2021-09-01	northern europe	finland	Europe / Finland / NA / NA / NA	galliformes-wild	64.2398144022788	26.1623842060791
H5N1|2344b|EPI_ISL_14760561|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-09	southern europe	italy	Europe / Italy / NA / NA / NA	galliformes-wild	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_1123361|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-02-10	northern europe	united kingdom	Europe / United Kingdom / Fife / NA / NA	galliformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_4653177|galliformes|sweden|2_1_1_1_1_1_1_1|2021-09-22	northern europe	sweden	Europe / Sweden / Skane Lan / Kristianstads Kommun / NA	galliformes-wild	55.9474024317265	13.595146733816
H5N1|2344b|EPI_ISL_17447412|carnivora|denmark|2_1_1_1_1_1_1_1|2022-01-17	northern europe	denmark	Europe / Denmark / Region Midtjylland / Norddjurs / NA	mammal	56.2490598335433	9.39675377639095
H5N1|2344b|EPI_ISL_7778880|carnivora|estonia|2_1_1_1_1_1_1_1|2021-11-08	northern europe	estonia	Europe / Estonia / NA / NA / NA	mammal	58.6717397518952	25.5522615433491
H5N1|2344b|EPI_ISL_15518271|carnivora|finland|2_1_1_1_1_1_1_1|2021-11-01	northern europe	finland	Europe / Finland / NA / NA / NA	mammal	64.2398144022788	26.1623842060791
H5N1|2344b|EPI_ISL_14070455|carnivora|japan|2_1_1_1_1_1_1_1|2022-04-01	eastern asia	japan	Asia / Japan / Hokkaido / Sapporo / NA	mammal	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_19074717|mammal|japan|2_1_1_1_1_1_1_1|2024-03-12	eastern asia	japan	NA	mammal	34.6052446200593	132.788104542609
H5N1|2344b|EPI_ISL_10220429|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-02-09	western europe	netherlands	Europe / Netherlands / Provincie Gelderland / NA / NA	mammal	52.0617180422494	5.94466833784019
H5N1|2344b|EPI_ISL_11019784|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-01-03	western europe	netherlands	Europe / Netherlands / Provincie Noord-Holland / NA / NA	mammal	52.5811544669078	4.87272777813315
H5N1|2344b|EPI_ISL_17260669|carnivora|united_states|2_1_1_1_1_1_1_1|2022-05-10	northern america	united states	North America / United States / Alaska / Aleutians West Census Area / NA	mammal	63.9513927980493	-152.396756538795
H5N1|2344b|EPI_ISL_15843373|accipitriformes|canada|2_1_1_1_1_1_1_1|2022-02-03	northern america	canada	North America / Canada / British Columbia / NA / NA	other	54.5586208852996	-124.37263203826
H5N1|2344b|EPI_ISL_11725994|accipitriformes|germany|2_1_1_1_1_1_1_1|2021-11-09	western europe	germany	Europe / Germany / Schleswig-Holstein / Dithmarschen / NA	other	54.1814850326718	9.81577342948134
H5N1|2344b|EPI_ISL_18788584|accipitriformes|denmark|2_1_1_1_1_1_1_1|2021-11-24	northern europe	denmark	NA	other	55.9512996898935	10.0707816763207
H5N1|2344b|EPI_ISL_7778754|accipitriformes|estonia|2_1_1_1_1_1_1_1|2021-10-12	northern europe	estonia	Europe / Estonia / NA / NA / NA	other	58.6717397518952	25.5522615433491
H5N1|2344b|EPI_ISL_7778768|strigiformes|finland|2_1_1_1_1_1_1_1|2021-08-01	northern europe	finland	Europe / Finland / NA / NA / NA	other	64.2398144022788	26.1623842060791
H5N1|2344b|EPI_ISL_8377056|pelecaniformes|france|2_1_1_1_1_1_1_1|2021-12-15	western europe	france	Europe / France / Languedoc-Roussillon / Departement de lAude / NA	other	43.7028957316864	2.13543482835379
H5N1|2344b|EPI_ISL_18361501|pelecaniformes|croatia|2_1_1_1_1_1_1_1|2021-11-16	southern europe	croatia	NA	other	45.5612844664452	18.4421430711185
H5N1|2344b|EPI_ISL_18361501|pelecaniformes|croatia|2_1_1_1_1_1_1_1|2021-11-16	southern europe	croatia	NA	other	45.0210446789036	16.3887129948206
