tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N8|2344b|EPI_ISL_14823405|anseriformes|china|NA|2021-01-17,EPI_ISL_14823405,H358,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H358_2021_H5N8
H5N8|2344b|EPI_ISL_14823422|anseriformes|china|NA|2021-01-17,EPI_ISL_14823422,H549,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H549_2021_H5N8
H5N8|2344b|EPI_ISL_14822549|NA|china|NA|2021-05-18,EPI_ISL_14822549,T1640,H5N8,2021-05-18,2021,NA,NA,NA,NA,NA,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,NA
H5N8|2344b|EPI_ISL_14822756|NA|china|NA|2021-05-19,EPI_ISL_14822756,T1707,H5N8,2021-05-19,2021,NA,NA,NA,NA,NA,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,NA
H5N8|2344b|EPI_ISL_14822757|NA|china|NA|2021-05-24,EPI_ISL_14822757,N38,H5N8,2021-05-24,2021,NA,NA,NA,NA,NA,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,NA
H5N8|2344b|EPI_ISL_14819793|NA|china|NA|2020-05-25,EPI_ISL_14819793,TJ1533,H5N8,2020-05-25,2020,aves,NA,NA,NA,Aves,China,Nei Mongol,內蒙古自治區|内蒙古自治区,Xing'an,兴安盟,"c(123.0288, 46.28811)",138,sea-level,A_wild_bird_Tumuji_TJ1533_2020_H5N8
H5N8|2344b|EPI_ISL_14819814|anseriformes|china|NA|2020-09-24,EPI_ISL_14819814,Q24,H5N8,2020-09-24,2020,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.5076, 36.86661)",3195,high,A_Bar-headed_Goose_Qinghai_Q24_2020_H5N8
H5N8|2344b|A26|anseriformes|china|NA|2021-07-09,NA,A26,H5N8,2021-07-09,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.5076, 36.86661)",3195,high,A_Bar-headed_Goose_Qinghai_A26_2021-7-9_H5N8
H5N8|2344b|A1715|anseriformes|china|NA|2021-07-09,NA,A1715,H5N8,2021-07-09,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.5076, 36.86661)",3195,high,A_Bar-headed_Goose_Qinghai_A1715_2021-7-9_H5N8
H5N8|2344b|A1903|anseriformes|china|NA|2021-07-09,NA,A1903,H5N8,2021-07-09,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.5076, 36.86661)",3195,high,A_Bar-headed_Goose_Qinghai_A1903_2021-7-9_H5N8
H5N8|2344b|A2029|anseriformes|china|NA|2021-07-09,NA,A2029,H5N8,2021-07-09,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.5076, 36.86661)",3195,high,A_Bar-headed_Goose_Qinghai_A2029_2021-7-9_H5N8
H5N8|2344b|Z29|podicipediformes|china|NA|2021-06-17,NA,Z29,H5N8,2021-06-17,2021,eared grebe,podiceps nigricollis,podicipediformes,podicipedidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Yinchuan,银川市,"c(106.791155, 37.787222)",1352,low,A_Black-necked_Grebe_Ningxia_Z29_2021-6-17_H5N8
H5N8|2344b|Z31|podicipediformes|china|NA|2021-07-06,NA,Z31,H5N8,2021-07-06,2021,eared grebe,podiceps nigricollis,podicipediformes,podicipedidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Yinchuan,银川市,"c(106.791155, 37.787222)",1352,low,A_Black-necked_Grebe_Ningxia_Z31_2021-7-6_H5N8
H5N8|2344b|Z45|podicipediformes|china|NA|2021-07-06,NA,Z45,H5N8,2021-07-06,2021,eared grebe,podiceps nigricollis,podicipediformes,podicipedidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Yinchuan,银川市,"c(106.791155, 37.787222)",1352,low,A_Black-necked_Grebe_Ningxia_Z45_2021-7-6_H5N8
H5N1|2344b|G56|anseriformes|china|NA|2021-10-20,NA,G56,H5N1,2021-10-20,2021,duck sp.,anatidae (duck sp.),anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Yinchuan,银川市,"c(105.913735, 38.403079)",1309,low,A_wild_duck_Ningxia_G56_2021-10-20_H5N1
