weighted_diff_coeff,median_anseriformes_wild,median_charadriiformes_wild,segment,collection_regionname,season
0,0,0,pb1,europe,migrating_autumn
41857.2,0,1.4306575072006975,pb1,europe,overwintering
90160.04,0.8464444324698981,0,pb1,europe,overwintering
90999.97,0.4932152937389862,0,pb1,europe,migrating_autumn
67150.06,0,0.93868085771944,pb2,europe,overwintering
247423.3,11.657384692217178,0,pb2,asia,migrating_spring
156220.5,7.290686682428545,0,pb2,europe,migrating_autumn
0,3.278703088745445,0,pb2,europe,migrating_spring
143229.1,0.8606670290398002,0,pb2,europe,migrating_autumn
0,2.9370872585141203,0,pb2,asia,migrating_autumn
191765.2,2.09517816357657,0,pb2,europe,overwintering
0,0,3.607625194709255,pb2,europe,breeding
0,0,1.3657163801422456,pb2,europe,overwintering
210596.6,0,4.9585358116363984,pb2,europe,migrating_autumn
1209.434,1.6547176384970417,0,pb2,europe,overwintering
0,2.2056619981733885,0,pb2,europe,breeding
226932,0.9514934244457508,0.3740193539178147,pb2,europe,migrating_autumn
30078.42,0,0.27395886945453185,pb2,europe,migrating_autumn
0,0.64970343714789,0,pb2,europe,migrating_spring
0,0.08356598480799349,0.10175823166847132,pb2,europe,overwintering
76477.81,0,0.5111574569672133,pb2,europe,migrating_autumn
0,0,0.12089859888229172,pb2,europe,breeding
198048.9,0.3827707975869714,0,pb2,europe,migrating_autumn
0,0.04695409321012533,0,pb2,europe,migrating_spring
0,0.2743852465368395,0,pb2,europe,breeding
0,0.33000551678912693,0,pb2,europe,breeding
0,0.17832383007260866,0,pb2,europe,migrating_autumn
54116.5,2.976301656835032,0,pb2,europe,breeding
1274.608,2.3601861541918936,0,pb2,europe,breeding
44501.17,0,0,pb2,europe,migrating_autumn
9771.584,0,0,pb2,europe,overwintering
85574.36,6.117111316887776,0,pb2,europe,migrating_autumn
0,0.48807248280886206,0,pb2,asia,migrating_spring
26988.47,0.33889339710888855,0,pb2,europe,migrating_autumn
0,0.7007440482366363,0,pb2,asia,breeding
68921.36,0.24780489859898935,0,pb2,europe,migrating_autumn
468492.4,1.051501169349514,0,pb2,europe,breeding
52122.29,0.23490270261323687,0,pb2,asia,overwintering
841.2384,0.3275878148234632,0,pb2,europe,overwintering
0,0.20414947988395585,0,pb2,europe,migrating_spring
1361.296,0,0,pb2,europe,overwintering
0,0,0,pb2,europe,migrating_autumn
0,0.15379127954196292,0.05400485811417255,pb2,europe,migrating_autumn
0,0.11219752584342936,0,pb2,europe,migrating_autumn
94432.77,0.5712278629964906,0.1966763044718931,pb2,europe,migrating_autumn
0,3.909039299663407,0,pb2,europe,overwintering
0,5.449623894554838,0,pb2,europe,migrating_spring
0,0.18518659353068223,0,pb2,europe,migrating_autumn
2306.497,0,0,pb2,europe,breeding
0,0,0,pb2,europe,breeding
0,0,0,pb2,europe,overwintering
4330.276,0,0,pb2,asia,breeding
91299.14,0.08063364665667816,0.2291958883129568,pb2,europe,migrating_spring
0,0.27004255357853957,0,pb2,europe,migrating_autumn
0,0.22076628171019053,0,pb2,europe,migrating_autumn
