tipnames	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_985183|galliformes|south_korea|12_1_5_2_3_3_1_2|2020-12-07	eastern asia	south korea	profile0003	galliformes-wild	36.737850075983	127.830446360213
H5N8|2344b|EPI_ISL_1009700|anseriformes|south_korea|12_1_5_2_3_3_1_2|2020-11-26	eastern asia	south korea	profile0003	anseriformes-wild	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_1009701|anseriformes|south_korea|12_1_5_2_3_3_1_2|2020-11-26	eastern asia	south korea	profile0003	anseriformes-wild	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_738049|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-15	eastern asia	japan	profile0003	galliformes-domestic	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_16405664|environment|japan|7_1_5_2_1_3_1_2|2020-11-30	eastern asia	japan	profile0003	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17805826|environment|japan|7_1_5_2_1_3_1_2|2020-11-30	eastern asia	japan	profile0003	environment	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_17086354|anseriformes|japan|NA|2021-01-29	eastern asia	japan	profile0003	anseriformes-wild	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_17086339|galliformes|japan|NA|2021-01-23	eastern asia	japan	profile0003	galliformes-domestic	36.6374969915777	137.269020761504
H5N8|2344b|EPI_ISL_978907|galliformes|japan|12_1_5_2_3_3_1_2|2021-01-22	eastern asia	japan	profile0003	galliformes-domestic	36.6374969915777	137.269020761504
H5N8|2344b|EPI_ISL_985192|galliformes|south_korea|12_1_5_2_3_3_1_2|2020-12-14	eastern asia	south korea	profile0003	galliformes-domestic	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_1009695|anseriformes|south_korea|7_1_5_2_1_3_1_2|2020-11-03	eastern asia	south korea	profile0003	anseriformes-wild	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_1009696|anseriformes|south_korea|7_1_5_2_1_3_1_2|2020-11-10	eastern asia	south korea	profile0003	anseriformes-wild	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_985179|anseriformes|south_korea|7_1_5_2_1_3_1_2|2020-11-26	eastern asia	south korea	profile0003	anseriformes-wild	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_985188|anseriformes|south_korea|12_1_5_2_3_3_1_2|2020-12-10	eastern asia	south korea	profile0003	anseriformes-wild	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_2820250|anseriformes|china|7_1_5_2_1_3_1_2|2020-10-15	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_17086227|environment|japan|NA|2020-11-25	eastern asia	japan	profile0003	environment	33.5256575241002	130.666678342289
H5N8|2344b|EPI_ISL_14819897|anseriformes|china|NA|2020-10-16	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_2815374|anseriformes|china|7_1_5_2_1_3_1_2|2020-10-15	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_2820259|anseriformes|china|7_1_5_2_1_3_1_2|2020-10-15	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_2820261|anseriformes|china|7_1_5_2_1_3_1_2|2020-10-15	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_2820504|anseriformes|china|7_1_5_2_1_3_1_2|2020-10-16	eastern asia	china	profile0003	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_17086344|falconiformes|japan|NA|2020-12-04	eastern asia	japan	profile0003	other-bird	34.8921234580739	133.826171708594
H5N8|2344b|EPI_ISL_732938|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-13	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_681283|galliformes|japan|12_1_5_2_3_3_1_2|2020-11-24	eastern asia	japan	profile0003	galliformes-domestic	33.5256575241002	130.666678342289
H5N8|2344b|EPI_ISL_718114|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-09	eastern asia	japan	profile0003	galliformes-domestic	33.2003954700371	131.433742894646
H5N8|2344b|EPI_ISL_718117|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-10	eastern asia	japan	profile0003	galliformes-domestic	34.8921234580739	133.826171708594
H5N8|2344b|EPI_ISL_17086333|environment|japan|NA|2020-12-12	eastern asia	japan	profile0003	environment	35.2154079352044	136.13796072496
H5N8|2344b|EPI_ISL_17086303|environment|japan|NA|2020-12-10	eastern asia	japan	profile0003	environment	33.9113994398813	135.506030353599
H5N8|2344b|EPI_ISL_4105028|galliformes|japan|NA|2020-01-01	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_718121|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-09	eastern asia	japan	profile0003	galliformes-domestic	33.9113994398813	135.506030353599
H5N8|2344b|EPI_ISL_732943|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-12	eastern asia	japan	profile0003	galliformes-domestic	35.2154079352044	136.13796072496
H5N8|2344b|EPI_ISL_18373230|anseriformes|south_korea|3_1_3_1_9_2_1_2|2022-01-23	eastern asia	south korea	profile0002	anseriformes-wild	35.1998148648435	129.058707832454
H5N8|2344b|EPI_ISL_14749142|environment|japan|NA|2021-12-01	eastern asia	japan	profile0002	environment	35.3595547900768	133.863177571414
H5N8|2344b|EPI_ISL_15063428|environment|japan|NA|2021-11-10	eastern asia	japan	profile0002	environment	39.7462736711545	140.408009328053
H5N8|2344b|EPI_ISL_15063430|galliformes|japan|NA|2021-11-15	eastern asia	japan	profile0002	galliformes-domestic	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17655601|environment|japan|3_2_3_1_3_2_1_2|2021-12-06	eastern asia	japan	profile0002	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17655678|environment|japan|3_2_3_1_3_2_1_12|2022-01-10	eastern asia	japan	profile0002	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17655581|environment|japan|3_2_3_1_3_2_1_2|2021-11-22	eastern asia	japan	profile0002	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17655584|environment|japan|3_2_3_1_3_2_1_2|2021-11-22	eastern asia	japan	profile0002	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_7381438|anseriformes|china|3_2_3_1_3_2_1_2|2021-08	eastern asia	china	profile0002	anseriformes-wild	23.33624359406	113.398153372919
H5N8|2344b|EPI_ISL_13295170|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-11-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	10.94029429079	104.816210680991
H5N8|2344b|EPI_ISL_17760584|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-11-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	12.7097809911859	104.914484966688
H5N8|2344b|EPI_ISL_13295169|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-10-15	south-eastern asia	cambodia	profile0002	anseriformes-wild	11.423085577617	105.017943157818
H5N8|2344b|EPI_ISL_17760582|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-10-15	south-eastern asia	cambodia	profile0002	anseriformes-wild	12.7097809911859	104.914484966688
H5N8|2344b|EPI_ISL_16209048|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-09-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	12.7097809911859	104.914484966688
H5N8|2344b|EPI_ISL_13295077|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-09-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	11.5628991220328	104.865149801284
H5N8|2344b|EPI_ISL_13295139|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-09-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	11.5628991220328	104.865149801284
H5N8|2344b|EPI_ISL_17760581|anseriformes|cambodia|17_1_6_1_5_2_1_10|2021-09-16	south-eastern asia	cambodia	profile0002	anseriformes-wild	12.7097809911859	104.914484966688
H5N8|2344b|EPI_ISL_11504587|galliformes|vietnam|3_2_3_1_3_2_1_9|2021-12-01	south-eastern asia	vietnam	profile0002	galliformes-domestic	21.8383841621594	106.620963954319
