tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_15957940.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-10	H5N1	2022-11-10	2022.86	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957933.galliformes.united_kingdom.1_1_2_1_1_1_1_10.2022-11-08	H5N1	2022-11-08	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_10	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957925.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-08	H5N1	2022-11-08	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957919.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-07	H5N1	2022-11-07	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957899.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-06	H5N1	2022-11-06	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957865.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-03	H5N1	2022-11-03	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957857.galliformes.united_kingdom.1_1_2_1_1_1_1_10.2022-11-03	H5N1	2022-11-03	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_10	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957837.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-02	H5N1	2022-11-02	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957830.galliformes.united_kingdom.1_1_2_1_1_1_1_10.2022-11-02	H5N1	2022-11-02	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_10	major	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957817.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-02	H5N1	2022-11-02	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
