tipnames	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_17805873.environment.japan.10.2020-11-30	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405677.environment.japan.10.2020-12-21	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805845.environment.japan.10.2020-12-21	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405665.environment.japan.10.2020-11-30	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805826.environment.japan.10.2020-11-30	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_718120.Galliformes.japan.16.2020-12-09	Galliformes_domestic	Galliformes	eastern asia	34.2305113	135.1708083	profile003
H5N8.EPI_ISL_681281.Anseriformes.japan.10.2020-11-16	Anseriformes_wild	Anseriformes	eastern asia	37.9161924	139.0364126	profile003
H5N8.EPI_ISL_1041172.Accipitriformes.japan.16.2021-02-10	Accipitriformes_wild	Accipitriformes	eastern asia	36.6959518	137.2136768	profile003
H5N8.EPI_ISL_1184510.Galliformes.japan.16.2021-02-24	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_1184511.Galliformes.japan.16.2021-02-24	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_5260457.Anseriformes.china.16.2021-01-23	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile003
H5N8.EPI_ISL_17086344.Falconiformes.japan.NA.2020-12-04	Falconiformes_wild	Falconiformes	eastern asia	34.6551456	133.9195019	profile003
H5N8.EPI_ISL_2815374.Anseriformes.china.10.2020-10-15	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile003
H5N8.EPI_ISL_14819896.Anseriformes.china.NA.2020-10-16	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile003
H5N8.EPI_ISL_2820503.Anseriformes.china.10.2020-10-16	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile003
H5N8.EPI_ISL_1009684.Anseriformes.south_korea.16.2020-12-30	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_854608.Galliformes.japan.16.2021-01-12	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_16718460.Accipitriformes.japan.16.2021-02-01	Accipitriformes_wild	Accipitriformes	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805822.NA.japan.16.2021-02-01	unknown	NA	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405674.environment.japan.10.2020-12-07	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805816.environment.japan.10.2020-12-07	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405672.environment.japan.10.2020-12-07	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805874.environment.japan.10.2020-12-07	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405676.environment.japan.10.2020-12-21	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805824.environment.japan.10.2020-12-07	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_17805901.NA.japan.10.2020-12-18	unknown	NA	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16718466.Anseriformes.japan.10.2020-12-18	Anseriformes_wild	Anseriformes	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_732944.Galliformes.japan.16.2020-12-12	Galliformes_domestic	Galliformes	eastern asia	35.2771489	136.2463682	profile003
H5N8.EPI_ISL_17086343.Anseriformes.japan.NA.2020-12-03	Anseriformes_wild	Anseriformes	eastern asia	34.2305113	135.1708083	profile003
H5N8.EPI_ISL_985179.Anseriformes.south_korea.10.2020-11-26	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_1273440.Galliformes.japan.16.2021-03-13	Galliformes_domestic	Galliformes	eastern asia	36.3813638	139.7303175	profile003
H5N8.EPI_ISL_17086353.environment.japan.NA.2021-03-13	unknown	environment	eastern asia	36.3813638	139.7303175	profile003
H5N8.EPI_ISL_718106.Galliformes.japan.16.2020-12-07	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_17086333.environment.japan.NA.2020-12-12	unknown	environment	eastern asia	35.2771489	136.2463682	profile003
H5N8.EPI_ISL_732946.Galliformes.japan.16.2020-12-12	Galliformes_domestic	Galliformes	eastern asia	35.2771489	136.2463682	profile003
H5N8.EPI_ISL_4105028.Galliformes.japan.NA.2020-01-01	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_17086303.environment.japan.NA.2020-12-10	unknown	environment	eastern asia	34.2305113	135.1708083	profile003
H5N8.EPI_ISL_708701.Galliformes.japan.10.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_708704.Galliformes.japan.10.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_708709.Galliformes.japan.10.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_1273417.Galliformes.japan.10.2020-11-04	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_17086225.environment.japan.NA.2020-11-11	unknown	environment	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_708714.Galliformes.japan.10.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_681284.Galliformes.japan.10.2020-11-25	Galliformes_domestic	Galliformes	eastern asia	34.680578	135.1652915	profile003
H5N8.EPI_ISL_17086228.environment.japan.NA.2020-11-25	unknown	environment	eastern asia	34.680578	135.1652915	profile003
H5N8.EPI_ISL_1273421.Galliformes.japan.10.2020-11-07	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_985180.Galliformes.south_korea.10.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	36.4919	128.8889	profile003
H5N8.EPI_ISL_1009681.Galliformes.south_korea.16.2020-12-29	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8	profile003
H5N8.EPI_ISL_4061715.Falconiformes.japan.10.2021-01-28	Falconiformes_wild	Falconiformes	eastern asia	44	143	profile003
H5N8.EPI_ISL_1273411.Galliformes.japan.16.2020-11-24	Galliformes_domestic	Galliformes	eastern asia	33.5903547	130.4017155	profile003
H5N8.EPI_ISL_17086227.environment.japan.NA.2020-11-25	unknown	environment	eastern asia	33.5903547	130.4017155	profile003
H5N8.EPI_ISL_1009702.Anseriformes.south_korea.10.2020-12-01	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile003
H5N8.EPI_ISL_4061712.Anseriformes.japan.10.2021-02-17	Anseriformes_wild	Anseriformes	eastern asia	38.2590428	140.8307874	profile003
H5N8.EPI_ISL_7623043.Charadriiformes.belgium.1.2021-01-11	Charadriiformes_wild	Charadriiformes	western europe	51.02337	3.62184999999999	profile002
H5N8.EPI_ISL_739686.Galliformes.kazakhstan.1.2020-09-18	Galliformes_domestic	Galliformes	central asia	53.2804	69.3762	profile002
H5N8.EPI_ISL_1114746.Galliformes.russia.1.2020-10-25	Galliformes_domestic	Galliformes	eastern europe	47.2357	39.7015	profile002
H5N8.EPI_ISL_1114748.Galliformes.russia.1.2020-10-25	Galliformes_domestic	Galliformes	eastern europe	47.2357	39.7015	profile002
H5N8.EPI_ISL_5062851.Charadriiformes.germany.1.2020-11-02	Charadriiformes_wild	Charadriiformes	western europe	53.6126505	12.4295953	profile002
H5N8.EPI_ISL_5095550.Anseriformes.germany.NA.2020-12-21	Anseriformes_wild	Anseriformes	western europe	52.408418	12.562492	profile002
H5N8.EPI_ISL_5863359.Anseriformes.georgia.1.2020-10-27	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile002
H5N8.EPI_ISL_5863447.Anseriformes.georgia.1.2020-10-02	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile002
H5N8.EPI_ISL_683751.Anseriformes.italy.1.2020-11-21	Anseriformes_wild	Anseriformes	southern europe	45.7223889	11.3879145	profile002
H5N8.EPI_ISL_1039235.Galliformes.russia.1.2020-12-12	Galliformes_domestic	Galliformes	eastern europe	47.1217888	47.3494879	profile002
H5N8.EPI_ISL_644155.Galliformes.russia.1.2020-08-17	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_644134.Galliformes.russia.1.2020-08-17	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_644132.Anseriformes.russia.1.2020-08-17	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_1114754.Anseriformes.netherlands.1.2020-12-31	Anseriformes_wild	Anseriformes	western europe	51.4826537	5.23216869999999	profile002
H5N8.EPI_ISL_14836079.Anseriformes.china.1.2020-11-16	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_644150.Galliformes.russia.1.2020-08-17	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_644127.Anseriformes.russia.1.2020-08-17	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_2932619.Anseriformes.kazakhstan.1.2020-09-23	Anseriformes_wild	Anseriformes	central asia	51.2105	71.4676	profile002
H5N8.EPI_ISL_1240998.Anseriformes.russia.1.2020-08-29	Anseriformes_wild	Anseriformes	central asia	55.0084	82.9357	profile002
H5N8.EPI_ISL_1095456.Strigiformes.sweden.NA.2020-10-30	Strigiformes_wild	Strigiformes	northern europe	60.128161	18.643501	profile002
H5N8.EPI_ISL_668456.Falconiformes.sweden.1.2020-11-10	Falconiformes_wild	Falconiformes	northern europe	55.9902572	13.5957691999999	profile002
H5N8.EPI_ISL_683594.Anseriformes.italy.1.2020-11-14	Anseriformes_wild	Anseriformes	southern europe	45.7223889	11.3879145	profile002
H5N8.EPI_ISL_5116063.Anseriformes.germany.1.2021-02-26	Anseriformes_wild	Anseriformes	western europe	51.050419	9.28457100000003	profile002
H5N8.EPI_ISL_5863650.Anseriformes.georgia.1.2020-12-29	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile002
H5N8.EPI_ISL_1114751.Galliformes.russia.1.2020-12-11	Galliformes_domestic	Galliformes	eastern europe	45.0391312	41.982139599999996	profile002
H5N8.EPI_ISL_1114750.Galliformes.russia.1.2020-12-11	Galliformes_domestic	Galliformes	eastern europe	45.0391312	41.982139599999996	profile002
H5N8.EPI_ISL_1114735.Galliformes.russia.1.2020-09-26	Galliformes_domestic	Galliformes	eastern asia	49.5884314	117.4794621	profile002
H5N8.EPI_ISL_644158.Galliformes.russia.1.2020-08-17	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_644139.Anseriformes.russia.1.2020-08-17	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242	profile002
H5N8.EPI_ISL_5123579.Anseriformes.germany.1.2021-03-19	Anseriformes_domestic	Anseriformes	western europe	52.6367036	9.8450765	profile002
H5N8.EPI_ISL_5146288.Galliformes.germany.1.2021-03-31	Galliformes_domestic	Galliformes	western europe	51.4332367	7.66159379999999	profile002
H5N8.EPI_ISL_1719911.Anseriformes.lithuania.1.2021-03-19	Anseriformes_wild	Anseriformes	northern europe	54.7732578	25.5867112999999	profile002
H5N8.EPI_ISL_5143626.Galliformes.germany.1.2021-03-22	Galliformes_domestic	Galliformes	western europe	51.0109892	10.8453460000001	profile002
H5N8.EPI_ISL_5143585.Galliformes.germany.1.2021-03-26	Galliformes_domestic	Galliformes	western europe	53.6126505	12.4295953	profile002
H5N8.EPI_ISL_5123590.Anseriformes.germany.1.2021-03-11	Anseriformes_domestic	Anseriformes	western europe	52.408418	12.562492	profile002
